Markers,Displacement,Load,Time,Depth,HARDNESS,MODULUS,S^2/P,X Position,Y Position
,nm,mN,s,nm,GPa,GPa,GPa,Âµm,Âµm
,-1166.985747,3.844194798,819.2450943,105.1689205,8.038961971,138.4846629,3005.730484,0,151.971375
,-1156.187733,3.846262031,822.7905925,103.7379133,8.299921557,140.9042173,3001.219291,0,149.971125
,-1146.769786,3.847570625,826.317708,105.0439372,8.137606507,135.5231229,2858.335792,0,147.970875
,-1137.108256,3.849331312,829.8595072,105.7750909,8.231943291,125.9959591,2483.293049,0,145.970625
,-1131.424873,3.850357587,833.3857359,107.8629356,8.116780318,114.8709635,2134.90238,0,143.970375
,-1122.331563,3.852525191,836.9105825,104.5731959,8.790499279,118.3358751,2079.202249,0,141.970125
,-1100.572193,3.853472504,840.4398798,119.2297165,6.122195122,113.5599607,2772.647329,0,139.969875
,-1102.602044,3.85447806,843.95525,111.3280067,7.095781476,126.7799363,2912.865159,0,137.969625
,-1092.777779,3.856588761,847.5057965,107.9693263,7.64070812,130.5959786,2851.299181,0,135.969375
,-1091.31626,3.857563568,851.0464953,103.9580065,8.370848192,135.995871,2795.810412,0,133.969125
,-1081.3295,3.859862978,854.5823406,101.8286221,8.796816556,139.3779753,2778.023682,0,131.968875
,-1077.675865,3.840651448,858.0237992,224.0260231,1.544989039,59.55147614,3333.314686,0,129.968625
,-1064.116446,3.862794604,861.6774856,101.7021146,8.487637222,153.5399778,3409.742726,0,127.968375
,-1056.159313,3.864463927,865.1980862,100.3983945,8.912195769,148.7559694,3073.253855,0,125.968125
,-1045.035668,3.866837496,868.7465727,99.06160065,9.171921313,152.2957356,3111.053179,0,123.967875
,-1033.587003,3.868586358,872.2894506,98.82542316,9.206521927,153.4909249,3141.751323,0,121.967625
,-1021.326339,3.871146603,875.842015,98.49593238,9.20483211,157.17944,3274.430833,0,119.967375
,-1013.856236,3.872092577,879.3806541,100.1588653,8.911672096,151.286545,3165.090416,0,117.967125
,-1007.685279,3.873004819,882.8933835,100.7239784,8.755781107,151.9457717,3245.902473,0,115.966875
,-999.2406685,3.873098767,886.3988769,108.5178413,7.373930733,138.3123833,3269.638007,0,113.966625
,-996.8859223,3.874839246,889.9271619,101.7499975,8.485648451,153.1437314,3395.266988,0,111.966375
,-990.9584352,3.875464939,893.448379,103.7739479,8.123180171,148.6359931,3367.021827,0,109.966125
,-985.7617381,3.876894601,896.9849048,99.92849532,8.946935832,152.291731,3189.139945,0,107.965875
,-975.2870793,3.878207889,900.5082224,103.0898079,8.239826681,150.2981336,3384.319747,0,105.965625
,-964.731138,3.880010826,904.0404733,105.0318605,8.035566564,140.0166508,3065.736744,0,103.965375
,-956.9360053,3.882133619,907.5857981,99.23152956,8.940447803,160.4836497,3494.730978,0,101.965125
,-950.2775404,3.883255274,911.1063139,99.81921094,8.755524799,162.4727037,3645.182564,0,99.964875
,-936.4734357,3.885543192,914.6380104,100.290815,8.701063078,159.4649055,3551.596542,0,97.964625
,-928.8405025,3.886899754,918.1674575,100.8284193,8.637682769,156.2283416,3452.937868,0,95.964375
,-914.7925749,3.888264247,921.7047216,108.852631,7.399874473,133.8307698,3074.336085,0,93.964125
,-903.9926016,3.890552834,925.241205,106.8200729,7.735447402,136.7124078,3053.618301,0,91.963875
,-893.1926587,3.892096188,928.7849151,108.0685659,7.601685672,131.4860359,2900.617728,0,89.963625
,-887.0211504,3.893803615,932.3122956,104.2205341,8.291789795,136.7653906,2850.679803,0,87.963375
,-876.7895303,3.895788383,935.8406458,105.3508618,8.176855276,131.3319834,2690.994066,0,85.963125
,-860.9546848,3.897767572,939.3670286,107.3222498,7.784973916,130.1023439,2779.744117,0,83.962875
,-855.3515967,3.89998343,942.9074195,103.3418153,8.531232536,135.4755854,2724.767001,0,81.962625
,-832.4516679,3.901811587,946.4518139,114.3744206,6.629941321,124.6638501,3025.553132,0,79.962375
,-828.6350353,3.903922692,950.013172,107.0025682,7.786553133,132.7986746,2881.959622,0,77.962125
,-815.7232318,3.906316371,953.5518689,106.2941865,7.876024561,135.2486217,2942.722798,0,75.961875
,-804.2730721,3.908883395,957.0763907,104.4068193,8.237139488,137.2653342,2888.099056,0,73.961625
,-779.829601,3.912683577,960.61391,107.3160441,7.62423055,137.305754,3121.890738,0,71.961375
,-767.8920133,3.915182733,964.1673601,104.575983,8.002791727,146.1187917,3317.253057,0,69.961125
,-751.8127014,3.918485457,967.7156553,102.0274992,8.668016748,142.3349201,2925.167942,0,67.960875
,-734.3527281,3.921727369,971.2431856,103.1827763,8.404730689,141.8609433,2999.203017,0,65.960625
,-725.906926,3.923079614,974.759777,101.7988636,8.687902967,143.7229251,2968.534042,0,63.960375
,-712.1012534,3.925242085,978.2941486,104.0046195,8.294256895,138.6742168,2920.234076,0,61.960125
